GEOCODIGO1,Quantidade_Paralizacao,GEOCODIGO,AG002,ES002,IN014
260415,0,2604155,496,NA,79.55
260430,0,2604304,2413,1511,100
260450,0,2604502,3878,NA,36.79
260470,0,2604700,3187,NA,NA
260490,0,2604908,2226,NA,NA
260500,0,2605004,8160,NA,NA
260510,0,2605103,6673,NA,12.93
260515,0,2605152,2546,1666,98.94
260530,22,2605301,5163,NA,NA
260560,9,2605608,4272,NA,NA
260570,5,2605707,7036,NA,100
260580,1,2605806,1985,NA,NA
260600,0,2606002,40358,3925,NA
260630,10,2606309,1002,905,NA
260640,3,2606408,27595,347,NA
260650,NA,2606507,NA,NA,NA
260660,0,2606606,4353,NA,28.47
260670,0,2606705,1384,NA,15.53
260690,0,2606903,2668,150,71.47
260700,9,2607000,5714,1599,NA
260710,0,2607109,689,NA,NA
260730,0,2607307,4591,2160,NA
260740,0,2607406,1314,NA,NA
260750,0,2607505,5255,NA,30.78
260770,0,2607703,3271,NA,100
260800,0,2608008,812,NA,NA
260805,11,2608057,3377,NA,100
260810,3,2608107,6156,NA,NA
260825,0,2608255,1210,NA,16.74
260830,0,2608305,1056,NA,NA
260840,0,2608404,4088,NA,100
260860,0,2608602,2036,NA,23.46
260870,0,2608701,3176,NA,NA
260875,0,2608750,4280,2347,100
260880,2,2608800,12222,NA,NA
260915,0,2609154,1961,NA,NA
260930,0,2609303,3389,NA,94.23
260970,4,2609709,2111,NA,46.98
260980,2,2609808,1620,NA,NA
260990,7,2609907,13726,NA,78.77
261010,0,2610103,1652,NA,100
261020,0,2610202,5041,3400,100
261030,0,2610301,432,NA,96.46
261040,3,2610400,3424,NA,100
261050,0,2610509,5339,NA,NA
261080,0,2610806,3160,NA,NA
261090,3,2610905,12722,NA,84.32
261100,2,2611002,7063,NA,100
261110,8,2611101,78644,51869,100
261120,0,2611200,2163,NA,NA
261153,5,2611533,1072,NA,NA
261170,0,2611705,4163,NA,NA
261200,0,2612000,2788,NA,NA
261210,0,2612109,974,NA,NA
261220,25,2612208,18348,5595,100
261230,0,2612307,1724,NA,98.92
261240,0,2612406,6163,NA,NA
261245,18,2612455,2017,NA,NA
261247,0,2612471,58,NA,100
261250,0,2612505,23120,NA,NA
261255,6,2612554,1553,1,91.35
261260,0,2612604,4638,NA,NA
261270,0,2612703,2099,NA,100
261280,0,2612802,2469,NA,NA
261300,7,2613008,8084,NA,NA
261310,0,2613107,9004,NA,92.21
261320,1,2613206,3999,NA,NA
261330,0,2613305,5180,NA,100
261350,1,2613503,6018,14000,NA
261360,3,2613602,8135,8200,100
261390,15,2613909,24838,3500,NA
261400,8,2614006,2772,NA,100
261410,10,2614105,6134,NA,NA
261430,5,2614303,1513,NA,NA
261440,0,2614402,612,NA,100
261450,0,2614501,19021,NA,NA
261460,4,2614600,8089,NA,NA
261470,0,2614709,2873,NA,20.9
261480,0,2614808,4250,NA,NA
261500,0,2615003,2586,400,95.48
261510,1,2615102,1077,NA,NA
261520,17,2615201,2667,NA,NA
261540,0,2615409,9724,NA,NA
261560,15,2615607,8396,NA,NA
261570,0,2615706,2514,NA,99.1
261580,0,2615805,3348,5000,NA
261590,2,2615904,2894,NA,NA
261600,0,2616001,2659,NA,95.54
261610,4,2616100,2578,NA,NA
261618,0,2616183,947,NA,96.02
261620,0,2616209,4436,NA,100
270010,126,2700102,3280,NA,87.38
270030,156,2700300,57575,15000,NA
270070,22,2700706,2989,1267,38.33
270090,12,2700904,579,NA,NA
270120,32,2701209,558,NA,99.6
270160,220,2701605,1739,NA,NA
